,A.HW.NA,A.HW.SW,A.NA.NA,A.NA.SW,B.HW.NA,B.HW.SW,B.NA.NA,B.NA.SW,C.HW.NA,C.HW.SW,C.NA.NA
A:HW-SW,1.0670510928141493E-9,,,,,,,,,,
A:NA-NA,0.00401372643233602,2.6967227658198656E-19,,,,,,,,,
A:NA-SW,0.6015426821990046,2.9507560777291895E-8,5.622402478216436E-4,,,,,,,,
B:HW-NA,9.114859169443611E-29,2.793464551503396E-7,4.3240037340963905E-44,3.264529206704535E-26,,,,,,,
B:HW-SW,2.8177509347568695E-55,8.502233534249532E-23,9.947801620595191E-75,6.820737507718578E-52,1.9500158813276936E-6,,,,,,
B:NA-NA,1.240530055839847E-12,0.3448856427894351,2.4868735440422734E-23,6.135956323787232E-11,3.748155564106623E-5,8.33156935953682E-19,,,,,
B:NA-SW,1.3933527825027446E-22,2.122737462815056E-4,3.539789364852152E-36,2.734730320703507E-20,0.17068370723146223,7.690792486230067E-10,0.0072035281441868194,,,,
C:HW-NA,3.184353140399647E-8,0.5985842150371126,4.272373901736436E-17,6.53243525109113E-7,1.156780671840582E-8,2.927277031400806E-25,0.12341255467142782,1.7618598572456093E-5,,,
C:HW-SW,5.5461330695211E-58,1.0802258187833845E-24,9.943742829841527E-78,1.2888618623188606E-54,1.9761676830316283E-7,0.6777248418013009,1.574137100001429E-20,4.099668465960802E-11,2.8709568971211375E-27,,
C:NA-NA,0.8497720565485335,3.5975497929370354E-9,0.0020680549728635325,0.7340320157528909,7.7108155509879945E-28,3.973689061890008E-54,5.194646031721542E-12,9.5357583819337E-22,9.892434519387962E-8,8.761538109196316E-57,
C:NA-SW,9.193015508051307E-10,0.9773912411132322,2.1767933737076803E-19,2.5714484881050416E-8,3.1765978904406125E-7,1.0632050137512144E-22,0.3541360215607934,2.3294221054962E-4,0.5878767158031882,1.3532030150441154E-24,3.111249649399237E-9
