,A.ENC100,A.ENC200,A.ENC300,A.ENC400,B.ENC100,B.ENC200,B.ENC300,B.ENC400,C.ENC100,C.ENC200,C.ENC300
A:ENC200,8.195464343860755E-6,,,,,,,,,,
A:ENC300,2.6540687378411344E-31,3.1519977314845246E-13,,,,,,,,,
A:ENC400,1.787277043398591E-83,6.314305317171538E-53,8.798569903735032E-17,,,,,,,,
B:ENC100,8.030047883244257E-21,7.368051804771323E-7,0.018941757582085262,2.60548522973848E-26,,,,,,,
B:ENC200,1.1253043961784794E-67,5.101248329128456E-40,8.41642931967246E-10,0.027412901281297072,2.650989182855102E-17,,,,,,
B:ENC300,7.06345357156096E-170,1.054113355359105E-129,5.514894516997746E-72,5.194969484998415E-24,3.1198010732708452E-89,2.146124522411819E-34,,,,,
B:ENC400,4.78679856149666E-309,4.151111804470816E-264,2.337861773330048E-192,7.634840033561544E-117,4.3469479212968524E-215,9.611897954675968E-136,6.383657253725989E-44,,,,
C:ENC100,0.1230026713439015,2.1525313185845206E-9,3.4584223914372335E-39,3.828469071058295E-95,2.124077869035357E-27,1.721695092138345E-78,2.885697720448089E-184,0.0,,,
C:ENC200,1.2034370227268753E-13,0.002944290673361299,1.4862969386330453E-5,6.534904797854935E-36,0.047016242374262565,2.7186541404265227E-25,8.930711201681103E-105,1.542474840546252E-234,4.57497343468946E-19,,
C:ENC300,3.8345188095126674E-112,1.7847244233015125E-77,2.0078743960817895E-32,2.69512818477186E-4,4.626570575888474E-45,4.998681199382219E-9,6.798011308470928E-11,1.00601787186433E-87,5.11638739559127E-125,4.07115199522283E-57,
C:ENC400,0.0,1.3199663662570753E-285,4.8280206048147486E-213,3.5893144449677316E-135,4.325411098847196E-236,6.78256329858984E-155,6.945407259909472E-57,0.03211743376996449,0.0,9.124548586122886E-256,1.7431753793728338E-104
