Algoritmo         Rendimiento
Algoritmo A         3
Algoritmo A         5
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         5
Algoritmo A         5
Algoritmo A         3
Algoritmo A         5
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         4
Algoritmo A         5
Algoritmo A         5
Algoritmo B         2
Algoritmo B         4
Algoritmo B         2
Algoritmo B         2
Algoritmo B         1
Algoritmo B         2
Algoritmo B         3
Algoritmo B         2
Algoritmo B         2
Algoritmo B         3
Algoritmo B         2
Algoritmo B         4
Algoritmo B         2
Algoritmo B         2
Algoritmo B         1
Algoritmo B         2
Algoritmo B         3
Algoritmo B         2
Algoritmo B         2
Algoritmo B         3
Algoritmo C         4
Algoritmo C         4
Algoritmo C         4
Algoritmo C         4
Algoritmo C         5
Algoritmo C         3
Algoritmo C         5
Algoritmo C         4
Algoritmo C         4
Algoritmo C         3
Algoritmo C         4
Algoritmo C         4
Algoritmo C         4
Algoritmo C         4
Algoritmo C         5
Algoritmo C         3
Algoritmo C         5
Algoritmo C         4
Algoritmo C         4
Algoritmo C         3
