Run,OS,Combination,Time(m)Raw,Min,Seconds,Time(m)Normalized,Accelerator,Integrator
1,Windows11,pavilion-day_kdtree_volpath.pbrt,28.93004808,,,28.93004808,kdtree,volpath
1,Windows11,dragon-10_kdtree_volpath.pbrt,33.35069544,,,33.35069544,kdtree,volpath
1,Windows11,killeroo-gold_bvh_volpath.pbrt,7.952916305,,,7.952916305,bvh,volpath
1,Windows11,dragon-10_bvh_path.pbrt,11.09793284,,,11.09793284,bvh,path
1,Windows11,vw-van_bvh_volpath.pbrt,13.97654863,,,13.97654863,bvh,volpath
1,Windows11,dragon-10_bvh_volpath.pbrt,11.34338647,,,11.34338647,bvh,volpath
1,Windows11,dragon-10_kdtree_path.pbrt,32.57571121,,,32.57571121,kdtree,path
1,Windows11,vw-van_kdtree_path.pbrt,17.66341061,,,17.66341061,kdtree,path
1,Windows11,killeroo-gold_bvh_path.pbrt,7.77441853,,,7.77441853,bvh,path
1,Windows11,killeroo-gold_kdtree_volpath.pbrt,12.38218186,,,12.38218186,kdtree,volpath
1,Windows11,vw-van_bvh_path.pbrt,13.71696221,,,13.71696221,bvh,path
1,Windows11,pavilion-day_bvh_volpath.pbrt,28.07549991,,,28.07549991,bvh,volpath
1,Windows11,vw-van_kdtree_volpath.pbrt,18.2528488,,,18.2528488,kdtree,volpath
1,Windows11,killeroo-gold_kdtree_path.pbrt,12.04750434,,,12.04750434,kdtree,path
1,Windows11,pavilion-day_bvh_path.pbrt,24.57467019,,,24.57467019,bvh,path
1,Windows11,pavilion-day_kdtree_path.pbrt,25.50264961,,,25.50264961,kdtree,path
1,Ubuntu-22-04-VM-Minimal,killeroo-gold_kdtree_volpath.pbrt,10m10.377s,10,10.377,10.17295,kdtree,volpath
1,Ubuntu-22-04-VM-Minimal,killeroo-gold_bvh_volpath.pbrt,6m56.512s,6,56.512,6.941866667,bvh,volpath
1,Ubuntu-22-04-VM-Minimal,dragon-10_bvh_volpath.pbrt,12m4.944s,12,4.944,12.0824,bvh,volpath
1,Ubuntu-22-04-VM-Minimal,vw-van_bvh_volpath.pbrt,12m39.601s,12,39.601,12.66001667,bvh,volpath
1,Ubuntu-22-04-VM-Minimal,killeroo-gold_kdtree_path.pbrt,9m55.311s,9,55.311,9.92185,kdtree,path
1,Ubuntu-22-04-VM-Minimal,vw-van_bvh_path.pbrt,12m19.552s,12,19.552,12.32586667,bvh,path
1,Ubuntu-22-04-VM-Minimal,vw-van_kdtree_path.pbrt,15m10.583s,15,10.583,15.17638333,kdtree,path
1,Ubuntu-22-04-VM-Minimal,pavilion-day_bvh_path.pbrt,22m14.940s,22,14.94,22.249,bvh,path
1,Ubuntu-22-04-VM-Minimal,dragon-10_bvh_path.pbrt,11m48.830s,11,48.83,11.81383333,bvh,path
1,Ubuntu-22-04-VM-Minimal,pavilion-day_kdtree_volpath.pbrt,24m30.256s,24,30.256,24.50426667,kdtree,volpath
1,Ubuntu-22-04-VM-Minimal,dragon-10_kdtree_volpath.pbrt,30m50.336s,30,50.336,30.83893333,kdtree,volpath
1,Ubuntu-22-04-VM-Minimal,dragon-10_kdtree_path.pbrt,29m35.862s,29,35.862,29.5977,kdtree,path
1,Ubuntu-22-04-VM-Minimal,killeroo-gold_bvh_path.pbrt,6m46.554s,6,46.554,6.7759,bvh,path
1,Ubuntu-22-04-VM-Minimal,pavilion-day_kdtree_path.pbrt,21m40.315s,21,40.315,21.67191667,kdtree,path
1,Ubuntu-22-04-VM-Minimal,vw-van_kdtree_volpath.pbrt,15m40.557s,15,40.557,15.67595,kdtree,volpath
1,Ubuntu-22-04-VM-Minimal,pavilion-day_bvh_volpath.pbrt,25m29.879s,25,29.879,25.49798333,bvh,volpath
1,Ubuntu-22-04-WSL,dragon-10_kdtree_path.pbrt,26m54.703s,26,54.703,26.91171667,kdtree,path
1,Ubuntu-22-04-WSL,vw-van_kdtree_volpath.pbrt,14m15.069s,14,15.069,14.25115,kdtree,volpath
1,Ubuntu-22-04-WSL,pavilion-day_kdtree_path.pbrt,19m44.460s,19,44.46,19.741,kdtree,path
1,Ubuntu-22-04-WSL,killeroo-gold_kdtree_volpath.pbrt,9m24.936s,9,24.936,9.4156,kdtree,volpath
1,Ubuntu-22-04-WSL,dragon-10_bvh_volpath.pbrt,10m17.828s,10,17.828,10.29713333,bvh,volpath
1,Ubuntu-22-04-WSL,killeroo-gold_kdtree_path.pbrt,9m9.943s,9,9.943,9.165716667,kdtree,path
1,Ubuntu-22-04-WSL,pavilion-day_bvh_path.pbrt,20m39.047s,20,39.047,20.65078333,bvh,path
1,Ubuntu-22-04-WSL,dragon-10_kdtree_volpath.pbrt,26m53.918s,26,53.918,26.89863333,kdtree,volpath
1,Ubuntu-22-04-WSL,vw-van_kdtree_path.pbrt,13m45.028s,13,45.028,13.75046667,kdtree,path
1,Ubuntu-22-04-WSL,pavilion-day_bvh_volpath.pbrt,23m14.027s,23,14.027,23.23378333,bvh,volpath
1,Ubuntu-22-04-WSL,dragon-10_bvh_path.pbrt,10m7.878s,10,7.878,10.1313,bvh,path
1,Ubuntu-22-04-WSL,vw-van_bvh_volpath.pbrt,11m9.029s,11,9.029,11.15048333,bvh,volpath
1,Ubuntu-22-04-WSL,pavilion-day_kdtree_volpath.pbrt,22m19.451s,22,19.451,22.32418333,kdtree,volpath
1,Ubuntu-22-04-WSL,killeroo-gold_bvh_path.pbrt,6m18.207s,6,18.207,6.30345,bvh,path
1,Ubuntu-22-04-WSL,vw-van_bvh_path.pbrt,11m4.041s,11,4.041,11.06735,bvh,path
1,Ubuntu-22-04-WSL,killeroo-gold_bvh_volpath.pbrt,6m28.194s,6,28.194,6.4699,bvh,volpath
1,Ubuntu-22-04-VM,pavilion-day_bvh_volpath.pbrt,25m18.006s,25,18.006,25.3001,bvh,volpath
1,Ubuntu-22-04-VM,dragon-10_bvh_volpath.pbrt,11m58.110s,11,58.11,11.9685,bvh,volpath
1,Ubuntu-22-04-VM,pavilion-day_kdtree_volpath.pbrt,24m20.155s,24,20.155,24.33591667,kdtree,volpath
1,Ubuntu-22-04-VM,dragon-10_kdtree_path.pbrt,29m39.730s,29,39.73,29.66216667,kdtree,path
1,Ubuntu-22-04-VM,vw-van_kdtree_volpath.pbrt,15m30.578s,15,30.578,15.50963333,kdtree,volpath
1,Ubuntu-22-04-VM,killeroo-gold_kdtree_path.pbrt,9m50.311s,9,50.311,9.838516667,kdtree,path
1,Ubuntu-22-04-VM,dragon-10_kdtree_volpath.pbrt,30m59.875s,30,59.875,30.99791667,kdtree,volpath
1,Ubuntu-22-04-VM,vw-van_kdtree_path.pbrt,15m0.554s,15,0.554,15.00923333,kdtree,path
1,Ubuntu-22-04-VM,killeroo-gold_bvh_path.pbrt,6m45.497s,6,45.497,6.758283333,bvh,path
1,Ubuntu-22-04-VM,vw-van_bvh_path.pbrt,12m9.517s,12,9.517,12.15861667,bvh,path
1,Ubuntu-22-04-VM,killeroo-gold_kdtree_volpath.pbrt,10m5.248s,10,5.248,10.08746667,kdtree,volpath
1,Ubuntu-22-04-VM,pavilion-day_kdtree_path.pbrt,21m25.140s,21,25.14,21.419,kdtree,path
1,Ubuntu-22-04-VM,pavilion-day_bvh_path.pbrt,22m9.751s,22,9.751,22.16251667,bvh,path
1,Ubuntu-22-04-VM,dragon-10_bvh_path.pbrt,11m33.989s,11,33.989,11.56648333,bvh,path
1,Ubuntu-22-04-VM,vw-van_bvh_volpath.pbrt,12m29.515s,12,29.515,12.49191667,bvh,volpath
1,Ubuntu-22-04-VM,killeroo-gold_bvh_volpath.pbrt,6m53.513s,6,53.513,6.891883333,bvh,volpath
1,Ubuntu-22-04,vw-van_kdtree_path.pbrt,14m5.199s,14,5.199,14.08665,kdtree,path
1,Ubuntu-22-04,vw-van_bvh_volpath.pbrt,11m59.228s,11,59.228,11.98713333,bvh,volpath
