Tiempo;Objetos;Arquitectura;Efectos;Resolucion
6.53;16000;APU;NA-TR-NA;1280x720
4.22;1000;APU;NA-TR-RE;1440x900
6.13;1000;APU;AA-NA-RE;1280x720
21.75;16000;APU;AA-TR-NA;1440x900
4.47;4000;APU;NA-NA-RE;1280x720
19.76;260000;APU;NA-NA-RE;1280x720
76.95;260000;APU;AA-TR-NA;1440x900
5.93;65000;APU;NA-NA-NA;1280x720
8.43;1000;APU;AA-TR-RE;1440x900
14.02;4000;APU;AA-TR-NA;1920x1080
6.78;1000;APU;AA-TR-NA;1280x720
7.34;1000;APU;AA-TR-NA;1440x900
9.66;4000;APU;AA-NA-NA;1920x1080
8.60;65000;APU;NA-TR-NA;1280x720
16.80;260000;APU;NA-TR-NA;1280x720
7.70;65000;APU;NA-NA-NA;1920x1080
6.88;65000;APU;NA-NA-NA;1440x900
124.75;260000;APU;AA-NA-RE;1920x1080
8.01;65000;APU;NA-NA-NA;1920x1080
10.00;16000;APU;AA-NA-NA;1280x720
4.99;4000;APU;NA-NA-NA;1920x1080
28.53;260000;APU;NA-NA-RE;1920x1080
5.37;4000;APU;NA-TR-NA;1440x900
4.76;16000;APU;NA-NA-NA;1280x720
29.47;65000;APU;NA-TR-RE;1920x1080
28.64;260000;APU;NA-NA-RE;1920x1080
3.67;1000;APU;NA-NA-RE;1280x720
7.61;16000;APU;NA-NA-RE;1440x900
136.74;65000;APU;AA-TR-RE;1920x1080
13.92;4000;APU;AA-TR-NA;1920x1080
19.01;260000;APU;NA-TR-NA;1440x900
124.42;260000;APU;AA-NA-RE;1920x1080
6.22;4000;APU;NA-TR-RE;1440x900
7.32;4000;APU;NA-TR-RE;1920x1080
4.02;1000;APU;NA-NA-RE;1440x900
92.29;260000;APU;AA-TR-NA;1920x1080
11.49;16000;APU;AA-NA-NA;1440x900
3.48;1000;APU;NA-NA-NA;1280x720
8.54;16000;APU;NA-NA-RE;1920x1080
19.19;65000;APU;AA-NA-NA;1440x900
41.84;260000;APU;NA-TR-RE;1280x720
4.27;1000;APU;NA-TR-NA;1440x900
4.18;1000;APU;NA-NA-RE;1920x1080
6.65;1000;APU;AA-NA-NA;1920x1080
15.72;65000;APU;AA-NA-NA;1280x720
16.81;260000;APU;NA-TR-NA;1280x720
23.98;260000;APU;NA-NA-RE;1440x900
15.10;16000;APU;NA-TR-RE;1920x1080
5.03;4000;APU;NA-NA-RE;1440x900
46.95;260000;APU;AA-NA-NA;1440x900
3.74;1000;APU;NA-TR-RE;1280x720
23.44;260000;APU;NA-NA-RE;1440x900
5.20;4000;APU;NA-NA-RE;1440x900
19.55;16000;APU;AA-TR-NA;1280x720
9.00;65000;APU;NA-NA-RE;1280x720
39.30;260000;APU;AA-NA-NA;1280x720
7.51;65000;APU;NA-NA-NA;1920x1080
124.93;260000;APU;AA-NA-RE;1920x1080
84.38;260000;APU;AA-NA-RE;1280x720
10.57;65000;APU;NA-TR-NA;1440x900
7.89;1000;APU;AA-TR-NA;1920x1080
8.70;16000;APU;NA-NA-RE;1920x1080
20.52;4000;APU;AA-TR-RE;1440x900
6.34;65000;APU;NA-NA-NA;1280x720
136.12;65000;APU;AA-TR-RE;1920x1080
4.94;4000;APU;NA-NA-RE;1440x900
5.20;1000;APU;AA-NA-NA;1280x720
6.28;16000;APU;NA-TR-NA;1280x720
6.23;65000;APU;NA-NA-NA;1280x720
18.42;65000;APU;NA-TR-RE;1280x720
29.11;65000;APU;NA-TR-RE;1920x1080
55.05;260000;APU;AA-NA-NA;1920x1080
13.66;16000;APU;AA-NA-NA;1920x1080
6.25;16000;APU;NA-TR-NA;1280x720
33.15;65000;APU;AA-NA-RE;1280x720
26.78;16000;APU;AA-TR-NA;1920x1080
5.97;1000;APU;AA-NA-NA;1440x900
26.20;16000;APU;AA-TR-NA;1920x1080
7.04;65000;APU;NA-NA-NA;1440x900
10.42;4000;APU;AA-NA-RE;1280x720
19.49;16000;APU;AA-NA-RE;1280x720
4.76;4000;APU;NA-TR-NA;1280x720
5.69;16000;APU;NA-NA-NA;1920x1080
6.81;4000;APU;AA-NA-NA;1280x720
16.39;65000;APU;AA-NA-NA;1280x720
76.67;260000;APU;AA-TR-NA;1440x900
7.45;4000;APU;NA-TR-RE;1920x1080
5.77;4000;APU;NA-TR-NA;1920x1080
7.46;16000;APU;NA-NA-RE;1440x900
22.71;16000;APU;AA-TR-NA;1440x900
28.47;260000;APU;NA-NA-RE;1920x1080
13.24;260000;APU;NA-NA-NA;1440x900
29.38;65000;APU;NA-TR-RE;1920x1080
7.34;4000;APU;NA-TR-RE;1920x1080
